Season,POS,Player,Team,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,Player_Image_URL,Type,Role
2008,1,Shaun Marsh,Kings XI Punjab,616,11,11,2,115,68.44,441,139.68,1,5,59,26,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Shaun_Marsh_2010.jpg/800px-Shaun_Marsh_2010.jpg,Batter,Player
2008,2,Gautam Gambhir,Delhi Daredevils,534,14,14,1,86,41.07,379,140.89,0,5,68,8,https://documents.iplt20.com/playerheadshot/ipl/284/84.png,Batter,Player
2008,3,Sanath Jayasuriya,Mumbai Indians,518,14,14,2,114*,43.16,309,167.63,1,2,58,31,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Sanath_Jayasuriya_portrait.jpg/800px-Sanath_Jayasuriya_portrait.jpg,All-rounder,Player
2008,4,Shane Watson,Rajasthan Royals,472,15,15,5,76*,47.2,311,151.76,0,4,47,19,https://documents.iplt20.com/playerheadshot/ipl/284/227.png,All-rounder,Player
2008,5,Graeme Smith,Rajasthan Royals,441,11,11,2,91,49,362,121.82,0,3,54,8,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Graeme_Smith_2010.jpg/800px-Graeme_Smith_2010.jpg,Batter,Player
2008,6,Adam Gilchrist,Kings XI Punjab,436,14,14,1,109*,33.53,318,137.11,1,3,51,19,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Adam_Gilchrist_2010.jpg/800px-Adam_Gilchrist_2010.jpg,Batter,WK
2008,7,Yusuf Pathan,Rajasthan Royals,435,16,15,1,68,31.07,243,179.01,0,4,43,25,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Yusuf_Pathan_2010.jpg/800px-Yusuf_Pathan_2010.jpg,All-rounder,Player
2008,8,Suresh Raina,Chennai Super Kings,421,16,14,3,55*,38.27,296,142.22,0,3,35,18,https://documents.iplt20.com/playerheadshot/ipl/284/14.png,All-rounder,Player
2008,9,MS Dhoni,Chennai Super Kings,414,16,14,6,65,41.4,310,133.54,0,2,38,15,https://documents.iplt20.com/ipl/IPLHeadshot2026/57.png,Batter,C + WK
2008,10,Virender Sehwag,Delhi Daredevils,406,14,14,2,94*,33.83,229,177.29,0,3,46,21,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Virender_Sehwag_2010.jpg/800px-Virender_Sehwag_2010.jpg,Batter,Player
2008,11,Rohit Sharma,Deccan Chargers,404,13,12,1,76*,36.72,273,147.98,0,4,38,19,https://documents.iplt20.com/ipl/IPLHeadshot2026/6.png,Batter,Player
2008,12,Rahul Dravid,Royal Challengers Bangalore,371,14,14,1,75*,28.53,298,124.49,0,2,35,11,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Rahul_Dravid_2010.jpg/800px-Rahul_Dravid_2010.jpg,Batter,Player
2008,13,Sourav Ganguly,Kolkata Knight Riders,349,13,13,1,91,29.08,307,113.68,0,3,33,15,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Sourav_Ganguly_2010.jpg/800px-Sourav_Ganguly_2010.jpg,Batter,C
2008,14,Shikhar Dhawan,Delhi Daredevils,340,14,14,5,68*,37.77,295,115.25,0,4,35,8,https://documents.iplt20.com/ipl/IPLHeadshot2024/11.png,Batter,Player
2008,15,Kumar Sangakkara,Kings XI Punjab,320,10,9,0,94,35.55,198,161.61,0,4,41,8,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Kumar_Sangakkara_2010.jpg/800px-Kumar_Sangakkara_2010.jpg,Batter,WK
2008,16,Robin Uthappa,Mumbai Indians,320,14,14,5,48,35.55,279,114.69,0,3,34,9,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Robin_Uthappa_2010.jpg/800px-Robin_Uthappa_2010.jpg,Batter,Player
2008,17,David Hussey,Kolkata Knight Riders,319,13,13,2,71,29,259,123.16,0,2,19,17,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/David_Hussey_2010.jpg/800px-David_Hussey_2010.jpg,All-rounder,Player
2008,18,Swapnil Asnodkar,Rajasthan Royals,311,9,9,0,60,34.55,233,133.47,0,2,43,6,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Swapnil_Asnodkar.jpg/800px-Swapnil_Asnodkar.jpg,Batter,Player
2008,19,Parthiv Patel,Chennai Super Kings,302,13,13,2,54,27.45,297,101.68,0,2,42,3,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Parthiv_Patel_2010.jpg/800px-Parthiv_Patel_2010.jpg,Batter,WK
