Season,POS,Player,Team,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
2008,1,Sohail Tanvir,Rajasthan Royals,22,11,11,41.2,266,14-Jun,12.09,6.46,11.22,1,1
2008,2,Shane Warne,Rajasthan Royals,19,15,15,52,404,21-Apr,21.26,7.76,16.42,0,0
2008,3,Shanthakumaran Sreesanth,Kings XI Punjab,19,15,15,51.4,442,29-Mar,23.26,8.63,16.15,0,0
2008,4,Piyush Chawla,Kings XI Punjab,17,15,15,47,389,17-Apr,22.88,8.3,16.52,0,0
2008,5,Albie Morkel,Chennai Super Kings,17,13,13,48,399,Apr-32,23.47,8.31,16.94,1,0
2008,6,Shane Watson,Rajasthan Royals,17,15,15,54,383,29-Apr,22.52,7.07,19.11,0,0
2008,7,Manpreet Gony,Chennai Super Kings,17,16,16,60,443,31-Mar,26.05,7.38,21.17,0,0
2008,8,Yo Mahesh,Delhi Daredevils,16,11,11,42,370,Apr-36,23.12,8.77,15.81,1,0
2008,9,Irfan Pathan,Kings XI Punjab,15,14,14,53,350,24-Mar,23.33,6.6,21.2,0,0
2008,10,RP Singh,Deccan Chargers,15,14,14,51.4,442,22-Apr,29.46,8.61,20.53,0,0
2008,11,MF Maharoof,Delhi Daredevils,15,10,10,36,249,Mar-34,16.6,6.91,14.4,0,0
2008,12,Munaf Patel,Rajasthan Royals,14,15,15,55,420,21-May,30,7.63,23.57,0,0
2008,13,Zaheer Khan,Royal Challengers Bangalore,13,11,11,42,357,17-Apr,27.46,8.5,19.38,0,0
2008,14,Siddharth Trivedi,Rajasthan Royals,13,15,15,48,399,25-Apr,30.69,8.31,22.15,0,0
2008,15,Ashish Nehra,Mumbai Indians,12,14,14,45,348,10-Apr,29,7.76,22.41,0,0
2008,16,Glenn McGrath,Delhi Daredevils,12,14,14,54,357,29-Apr,29.75,6.61,27,1,0
2008,17,Umar Gul,Kolkata Knight Riders,12,6,6,22,184,23-Apr,15.33,8.17,11.25,1,0
2008,18,LakshMumbai Indianspathy Balaji,Chennai Super Kings,11,9,9,33,286,24-May,26,8.66,18,0,1
2008,19,Shaun Pollock,Mumbai Indians,11,13,13,46,301,12-Mar,27.36,6.54,25.09,0,0
2008,20,AMumbai Indianst Mumbai Indiansshra,Delhi Daredevils,11,6,6,20,142,17-May,12.9,7.15,10.81,0,1
2008,21,Dwayne Bravo,Mumbai Indians,11,9,9,28,232,22-Apr,21.09,8.14,15.54,0,0
2008,22,Muttiah Muralitharan,Chennai Super Kings,11,15,15,58,404,11-Mar,36.72,6.96,31.63,0,0
